('î', 265234)
('å', 189311)
('à', 188261)
('è', 155985)
('í', 148915)
('ò', 134723)
('ñ', 122497)
('ë', 115286)
('â', 106346)
('ð', 101782)
('ê', 77282)
('ä', 70459)
('ì', 68125)
('ó', 62560)
('ï', 60527)
('ÿ', 50597)
('ã', 45270)
('ü', 44795)
('û', 44514)
('á', 39981)
('ç', 39387)
('÷', 33228)
('é', 25752)
('æ', 24498)
('ø', 21319)
('õ', 19781)
('þ', 14108)
('ö', 8280)
('ý', 7052)
('ù', 6809)
('ô', 4708)
('¸', 1015)
('ú', 986)
